"","E1A_profile","E1B_profile","E1C_profile","E2A_profile","E2B_profile","E3A_profile","E3B_profile","E3C_profile","E3D_profile","E4A_profile","E1A_sd","E1B_sd","E1C_sd","E2A_sd","E2B_sd","E3A_sd","E3B_sd","E3C_sd","E3D_sd","E4A_sd"
"07:45",2.41722465753425e-05,2.44249589041096e-05,2.29615616438356e-05,2.78733424657534e-05,2.81616164383562e-05,3.23839178082192e-05,2.96552602739726e-05,2.96552602739726e-05,3.00955890410959e-05,1.47466849315068e-05,4.35752808172129e-06,5.30791905903975e-06,4.54892108022651e-06,8.6936930091814e-06,5.10666154744649e-06,1.07135462031007e-05,6.83025800766722e-06,6.83025800766722e-06,1.1003223782798e-06,2.47168710727811e-05
"08:00",2.53204657534247e-05,2.54227397260274e-05,2.39108767123288e-05,3.01406301369863e-05,2.93196164383562e-05,3.50658356164384e-05,3.14739178082192e-05,3.14739178082192e-05,3.02955342465753e-05,1.06020273972603e-05,4.25301593727293e-06,5.07755210021749e-06,4.19461013376915e-06,9.97657629659777e-06,5.66514830758929e-06,1.21410117649313e-05,7.77728912231808e-06,7.77728912231808e-06,1.10677586008e-06,2.17070306696644e-05
"08:15",2.64081369863014e-05,2.64909315068493e-05,2.48058356164384e-05,3.22185205479452e-05,3.03465205479452e-05,3.72962191780822e-05,3.31450410958904e-05,3.31450410958904e-05,3.03491232876712e-05,6.39495890410959e-06,4.15393852998014e-06,4.83369665015662e-06,3.83470326019927e-06,1.11041217722376e-05,6.09386172900579e-06,1.32810497051442e-05,8.64558645650357e-06,8.64558645650357e-06,1.12436565687626e-06,1.64470743018011e-05
"08:30",2.74879452054795e-05,2.75741095890411e-05,2.57704383561644e-05,3.3770904109589e-05,3.12650684931507e-05,3.89015342465753e-05,3.44340547945205e-05,3.44340547945205e-05,3.03827671232877e-05,1.10438356164384e-06,4.05666875965499e-06,4.60585026800198e-06,3.67421776449659e-06,1.18116089293128e-05,6.43384686665276e-06,1.4055584352341e-05,9.27344922003403e-06,9.27344922003403e-06,1.14384005404856e-06,3.77770977857717e-06
"08:45",2.85204383561644e-05,2.85926849315068e-05,2.68683287671233e-05,3.50517534246575e-05,3.21773424657534e-05,3.99488493150685e-05,3.5571095890411e-05,3.5571095890411e-05,3.04888493150685e-05,0,3.97895878266277e-06,4.3538550458587e-06,3.71361930643862e-06,1.22646776922623e-05,6.75357286845547e-06,1.44575752337423e-05,9.74937199465844e-06,9.74937199465844e-06,1.10776445099129e-06,0
"09:00",2.94733150684931e-05,2.9481397260274e-05,2.78923287671233e-05,3.62739178082192e-05,3.29206575342466e-05,4.06891506849315e-05,3.64288493150685e-05,3.64288493150685e-05,3.05908493150685e-05,0,3.9252874496713e-06,4.06370303823489e-06,3.84659515509751e-06,1.25861820160237e-05,7.04123592933902e-06,1.4601643897057e-05,1.00242063505297e-05,1.00242063505297e-05,1.07304337232007e-06,0
"09:15",3.0301698630137e-05,3.02123561643836e-05,2.87291232876712e-05,3.7364602739726e-05,3.35205479452055e-05,4.09661643835616e-05,3.70756438356164e-05,3.70756438356164e-05,3.0627698630137e-05,0,3.90091703322892e-06,3.82859382763101e-06,4.03742278511273e-06,1.27694782121875e-05,7.18865916413152e-06,1.44719456750382e-05,1.01939290775262e-05,1.01939290775262e-05,1.07378562491186e-06,0
"09:30",3.09767123287671e-05,3.07602739726027e-05,2.93095068493151e-05,3.82141917808219e-05,3.40210684931507e-05,4.11586849315069e-05,3.74847123287671e-05,3.74847123287671e-05,3.06427397260274e-05,0,3.91771086124189e-06,3.6719292218733e-06,4.2849436476839e-06,1.27834710937553e-05,7.20862035147291e-06,1.43049693748464e-05,1.02704609362405e-05,1.02704609362405e-05,1.07600816548075e-06,0
"09:45",3.14561095890411e-05,3.1091698630137e-05,2.96623287671233e-05,3.9044904109589e-05,3.45583835616438e-05,4.13049589041096e-05,3.78221369863014e-05,3.78221369863014e-05,3.06069863013699e-05,0,3.96102726838939e-06,3.60013489782717e-06,4.53753428242065e-06,1.27661043006669e-05,7.1439867794687e-06,1.4141204069651e-05,1.02994646896463e-05,1.02994646896463e-05,1.04005531991964e-06,0
"10:00",3.17214520547945e-05,3.11939178082192e-05,2.97625205479452e-05,3.99175342465753e-05,3.49129863013699e-05,4.18207123287671e-05,3.80278904109589e-05,3.80278904109589e-05,3.05781643835616e-05,0,4.04682928739881e-06,3.56343391365158e-06,4.73662445332136e-06,1.28361765323359e-05,7.06680306913555e-06,1.42218077217986e-05,1.02820090496871e-05,1.02820090496871e-05,1.01168973838325e-06,0
"10:15",3.18064931506849e-05,3.11308493150685e-05,2.97134794520548e-05,4.0709397260274e-05,3.51269863013699e-05,4.24710136986301e-05,3.81944931506849e-05,3.81944931506849e-05,3.06289863013699e-05,0,4.15240348487346e-06,3.56635569706681e-06,4.81048970602806e-06,1.29687357008948e-05,6.98596144966356e-06,1.44269183428302e-05,1.0265234862832e-05,1.0265234862832e-05,1.01810792640654e-06,0
